,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
10,KELSEY REGIONAL HOSPITAL,-16.2824585,97.952998,NORTH-WESTERN,KARENE,ALASKA,MARTINBURY,,,False,3,6,0,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,376,321,311,200,174,135,161,106,7,12,12,8,11,15,11,22,0,2,1,0,2,True,True,False,True,True,True,False,0,0,2,2,2,0,1,2,1,2,2,0,2,0,0,0,0,0,2,0,0,0,2,2,2,0,0,2,2,2,0,2,2,2,0,2,2,2,2,0,0,1,0,0,1,0,2,0,1,0,2,2,2,0,2,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,0,0,302.0,144.0,9.75,14.75,2.5,5.0,5.0,7.0,2.0,4.0,3.0,5.0,2.0,6.0,1.0,4.0,4.0,9.0,3.0,4.0,3.0,4.0,3.0,5.0,0.5,5.0,13.5,27.0,28.5,44.0,57.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11,TAMMY HOSPITAL,-32.2598115,-126.175587,NORTHERN,FALABA,GEORGIA,BROWNLAND,,,True,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,TBA,hr triage_early_recognition isolation_physical_distancing,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,1,0,0,0,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.0,,,,,0.5,5.0,,,1.0,4.0,,,,,,,,,,,,,,,2.0,14.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
12,KARINA CLINIC,64.4664015,-91.29734,EASTERN,KENEMA,VIRGINIA,WEST ALEXISPORT,,,True,1,0,6,1,0,0,0,0,0,1,0,3,2,1,0,1,1,1,1,1,1,Porter,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,524,397,640,297,288,237,291,209,23,17,18,21,16,17,15,11,2,2,1,2,2,True,True,True,True,True,True,True,2,2,2,2,1,1,2,1,1,1,1,1,1,0,0,2,1,2,2,0,2,0,1,1,1,1,0,2,2,2,2,1,2,2,0,2,1,1,0,0,0,2,2,2,1,1,2,1,1,1,1,1,0,0,1,0,0,1,2,2,1,0,0,1,1,0,0,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,0,0,464.5,256.25,19.75,14.75,4.5,5.0,7.0,7.0,4.0,4.0,3.0,5.0,1.5,6.0,3.5,4.0,4.0,9.0,3.5,4.0,3.0,4.0,1.0,5.0,3.5,5.0,15.0,27.0,18.5,44.0,57.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
13,SAVANNAH TERTIARY HOSPITAL,64.0398865,30.587907,EASTERN,KONO,RHODE ISLAND,PEREZSIDE,,,True,2,4,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,4,2,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,180,167,176,172,14,11,49,25,5,7,6,6,12,7,4,13,0,2,1,1,2,True,True,True,True,True,False,True,0,0,2,2,0,0,2,0,0,2,2,2,2,2,0,0,1,1,2,2,2,1,2,2,0,0,0,2,1,1,0,0,0,2,0,2,2,2,2,2,2,2,2,2,1,2,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,1,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2,2,2,0,173.75,24.75,6.0,9.0,3.0,5.0,6.0,7.0,2.0,4.0,1.0,5.0,4.0,6.0,2.0,4.0,5.5,9.0,1.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,17.5,27.0,29.5,44.0,65.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
14,LAURA TERTIARY HOSPITAL,79.3804665,-55.91321,EASTERN,KENEMA,ALASKA,TOWNSENDMOUTH,,,True,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,438,420,459,390,199,158,249,181,12,16,14,14,7,11,7,16,1,2,0,0,2,True,True,True,True,True,True,True,0,0,0,2,0,0,0,1,0,1,1,0,1,2,0,0,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,0,1,1,2,0,0,0,2,1,1,2,1,2,0,0,2,0,0,0,2,2,2,0,2,2,1,1,1,2,2,1,0,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,1,0,426.75,196.75,14.0,10.25,2.5,5.0,7.0,7.0,1.0,4.0,0.5,5.0,2.0,6.0,2.0,4.0,8.5,9.0,2.0,4.0,4.0,4.0,2.5,5.0,1.5,5.0,18.5,27.0,27.5,44.0,61.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
15,CHARLES CLINIC,77.804373,106.559025,EASTERN,KONO,MARYLAND,EAST BRANDON,,,True,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,3,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,286,282,178,224,114,115,152,155,3,6,10,7,9,9,7,6,0,2,0,0,2,True,False,False,False,False,False,False,2,0,2,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,242.5,134.0,6.5,7.75,2.0,5.0,1.0,7.0,3.0,4.0,0.5,5.0,2.0,6.0,1.0,4.0,2.0,9.0,0.0,4.0,0.0,4.0,1.0,5.0,0.5,5.0,3.5,27.0,9.0,44.0,22.0,102.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
16,ROBERT CHP,-44.270199,153.380144,WESTERN AREA,WESTERN AREA URBAN,KENTUCKY,COLLEENBURGH,,,True,4,5,4,1,0,0,0,0,0,2,1,7,3,0,0,7,3,0,0,2,0,nursing aide,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1148,931,997,874,567,462,504,402,26,32,28,28,37,42,42,33,0,1,0,1,0,True,False,False,False,False,False,False,1,1,2,2,1,1,2,2,1,2,2,2,1,1,0,0,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,1,1,1,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,2,0,0,2,0,0,2,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,987.5,483.75,28.5,38.5,1.0,5.0,1.0,7.0,3.0,4.0,3.5,5.0,3.0,6.0,2.0,4.0,2.0,9.0,0.0,4.0,1.5,4.0,2.0,5.0,2.0,5.0,7.5,27.0,11.0,44.0,32.0,102.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
17,RANDY HOSPITAL,38.216932,106.465088,EASTERN,KAILAHUN,IOWA,NEW HEIDITOWN,,,True,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,Security,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,206,167,165,176,93,83,82,108,15,19,9,20,10,37,11,17,1,1,0,0,0,True,False,False,False,True,False,False,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,2,2,1,2,1,0,1,0,1,0,1,2,0,1,1,1,1,2,0,1,1,0,2,1,0,0,0,178.5,91.5,15.75,18.75,1.0,5.0,2.0,7.0,3.5,4.0,0.0,5.0,0.0,6.0,0.0,4.0,1.5,9.0,0.5,4.0,1.5,4.0,0.5,5.0,1.0,5.0,5.0,27.0,15.5,44.0,27.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
18,STEVEN TERTIARY HOSPITAL,-9.2838505,51.93341,WESTERN,WESTERN AREA URBAN,ILLINOIS,COLLEENBURGH,,,True,3,2,1,2,0,0,0,0,0,2,1,3,0,4,1,7,1,1,0,1,0,Nursing Aide,hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,,,,,,,,,,,,,,,,,0,0,0,0,0,True,False,False,False,False,False,False,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,0,0,0,0,1,1,0,2,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,7.0,1.5,4.0,0.5,5.0,0.0,6.0,2.0,4.0,0.0,9.0,0.0,4.0,2.0,4.0,1.5,5.0,0.5,5.0,4.0,27.0,0.0,44.0,9.0,102.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
19,JEFFREY MCHP,-77.057101,-162.27066,NORTHERN,TONKOLILI,GEORGIA,EAST BEVERLYMOUTH,,,False,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,16,0,Community Health Workers,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,332,279,228,170,540,606,523,343,10,13,13,7,23,24,21,6,2,2,1,1,2,True,False,False,False,False,False,False,1,0,2,2,2,0,2,2,2,1,2,2,,0,0,0,2,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,,2,0,2,1,1,1,0,0,1,0,1,2,0,1,1,0,1,0,1,2,0,1,2,2,1,0,0,1,1,1,2,2,0,1,0,0,1,0,1,0,0,1,2,2,0,0,252.25,503.0,10.75,18.5,4.0,5.0,1.0,7.0,2.5,4.0,4.0,5.0,2.0,6.0,3.0,4.0,1.5,9.0,0.5,4.0,1.0,4.0,2.0,5.0,0.0,5.0,5.0,27.0,17.0,44.0,38.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
20,DAWN CLINIC,-68.530973,138.542816,WESTERN AREA,WESTERN AREA RURAL,LOUISIANA,HAILEYSHIRE,,,True,2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,472,473,713,375,371,645,888,376,16,20,22,15,10,15,18,9,2,0,0,0,2,True,True,True,False,False,False,False,0,0,2,2,2,0,0,2,2,2,0,2,2,2,0,2,2,0,2,1,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,2,1,,2,2,0,0,0,2,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,0,2,2,0,2,2,0,0,508.25,570.0,18.25,13.0,2.0,5.0,3.0,7.0,2.0,4.0,3.0,5.0,3.0,6.0,3.0,4.0,4.0,9.0,0.0,4.0,1.0,4.0,2.0,5.0,1.0,5.0,8.0,27.0,26.5,44.0,50.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
21,ZOE HOSPITAL/CHC,-26.352292,97.523226,WESTERN,WESTERN AREA URBAN,RHODE ISLAND,COLLEENBURGH,,,True,2,3,2,0,0,0,0,0,0,0,0,2,1,0,0,3,3,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,693,649,733,542,439,522,513,344,25,18,20,15,34,32,20,32,1,1,1,1,0,True,False,True,True,True,True,True,1,1,2,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,2,0,2,0,2,2,2,2,0,0,2,2,0,2,2,2,0,0,2,0,1,1,0,0,0,1,0,1,2,,,,654.25,454.5,19.5,29.5,2.0,5.0,6.0,7.0,3.0,4.0,0.0,5.0,1.5,6.0,0.5,4.0,2.0,9.0,0.5,4.0,1.0,4.0,1.5,5.0,1.0,5.0,6.0,27.0,18.0,44.0,37.0,102.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
22,DAVID CHP,32.6490015,0.236277,WESTERN AREA,WESTERN AREA RURAL,LOUISIANA,MARKVIEW,,,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,289,234,221,310,195,161,164,135,14,15,7,11,17,7,5,9,0,0,0,0,2,True,True,True,True,True,False,False,0,0,2,2,2,0,2,1,0,0,0,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,0,0,2,2,0,0,263.5,163.75,11.75,9.5,1.0,5.0,5.0,7.0,2.0,4.0,2.5,5.0,4.0,6.0,1.0,4.0,9.0,9.0,0.5,4.0,2.5,4.0,0.5,5.0,0.0,5.0,12.5,27.0,30.5,44.0,58.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
23,JOHN CLINIC,-54.3882585,-131.023446,NORTHERN,KOINADUGU,TENNESSEE,GARYTOWN,,,True,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing,340,327,368,364,272,267,272,233,4,5,9,6,8,9,9,8,0,2,0,0,2,True,True,True,True,True,True,True,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.75,261.0,6.0,8.5,2.0,5.0,7.0,7.0,4.0,4.0,0.0,5.0,5.0,6.0,3.0,4.0,,,,,,,,,,,,,,,21.0,31.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
24,MICHAEL TERTIARY HOSPITAL,-30.5360495,56.556117,NORTHERN REGION,KOINADUGU,TENNESSEE,LISAHAVEN,,,True,2,4,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,7,7,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,379,385,303,127,174,159,171,199,9,7,7,10,12,20,9,4,1,2,0,0,2,True,True,True,True,True,True,False,2,1,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,1,0,0,0,2,1,0,2,2,2,2,,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,0,2,2,2,0,2,0,0,2,0,0,2,0,0,2,2,0,0,298.5,175.75,8.25,11.25,2.5,5.0,6.0,7.0,2.5,4.0,3.5,5.0,5.0,6.0,4.0,4.0,4.0,9.0,3.0,4.0,3.0,4.0,1.5,5.0,2.5,5.0,14.0,27.0,19.0,44.0,56.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
25,TREVOR CHP,47.673156,81.618591,EASTERN,KAILAHUN,NEW YORK,LAKE SEAN,,,True,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,368,416,383,440,136,154,149,281,10,10,11,11,10,9,10,10,0,2,1,0,0,True,False,True,True,True,False,True,2,2,2,2,2,2,2,2,1,1,2,0,0,1,1,0,1,2,2,1,0,0,1,0,0,0,1,1,1,0,0,2,2,2,0,0,2,2,1,0,0,1,0,0,2,0,2,0,2,2,2,0,0,0,1,1,1,1,1,1,1,0,0,2,2,0,2,2,1,1,0,2,0,2,2,2,2,0,2,2,2,0,0,1,1,2,1,2,0,0,401.75,180.0,10.5,9.75,1.5,5.0,5.0,7.0,4.0,4.0,4.5,5.0,2.0,6.0,2.5,4.0,2.0,9.0,1.5,4.0,2.0,4.0,2.5,5.0,0.5,5.0,8.5,27.0,22.0,44.0,50.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
26,CHRISTINA CHC,-19.322668,26.642044,EASTERN,KAILAHUN,MISSISSIPPI,LAKE JENNIFER,,,True,2,3,1,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,2,CHA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,365,288,216,407,161,135,197,167,4,6,5,6,7,9,6,10,2,2,1,1,0,True,True,True,False,False,True,True,0,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,2,2,0,0,1,0,2,1,0,0,0,2,0,2,0,2,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,2,2,1,2,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,319.0,165.0,5.25,8.0,3.0,5.0,5.0,7.0,3.0,4.0,0.5,5.0,1.0,6.0,1.5,4.0,2.5,9.0,1.5,4.0,2.0,4.0,3.0,5.0,2.0,5.0,11.0,27.0,9.5,44.0,34.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
27,AMANDA CLINIC,-20.814162,-130.733651,NORTHERN,TONKOLILI,MASSACHUSETTS,NORTH SARA,,,True,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,3,3,2,2,17,0,Community Health Workers,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,443,452,461,515,483,492,461,505,6,10,8,8,12,17,16,15,0,2,1,0,2,True,True,False,False,True,False,False,0,0,2,2,0,0,2,2,1,1,1,2,2,0,0,1,2,2,2,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,0,1,2,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,2,2,2,2,0,0,467.75,485.25,8.0,15.0,2.5,5.0,3.0,7.0,2.0,4.0,2.5,5.0,2.5,6.0,3.5,4.0,2.5,9.0,0.0,4.0,0.0,4.0,2.5,5.0,0.5,5.0,5.5,27.0,14.5,44.0,36.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
28,THOMAS TERTIARY HOSPITAL,-10.236937,-39.81489,NORTHERN,TONKOLILI,NEVADA,KERRVILLE,,,False,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,224,288,218,421,246,309,300,234,13,16,17,13,12,14,15,4,2,1,0,1,2,True,False,False,False,False,False,True,0,0,2,2,1,1,2,2,0,1,1,1,2,0,0,0,2,2,2,0,0,0,1,2,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,1,1,2,2,0,0,0,2,2,0,0,2,2,2,0,2,1,0,2,1,2,2,2,2,2,0,2,2,2,2,0,1,2,2,1,2,0,0,2,2,2,0,0,287.75,272.25,14.75,11.25,3.0,5.0,2.0,7.0,2.0,4.0,3.0,5.0,2.0,6.0,3.0,4.0,2.5,9.0,1.0,4.0,0.5,4.0,0.5,5.0,2.0,5.0,6.5,27.0,26.5,44.0,48.0,102.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
29,ROBERT MCHP,-61.542334,80.162887,EASTERN,KENEMA,ALASKA,LAKE JOHNSTAD,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,True,True,True,True,True,True,,2,1,2,2,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,0.0,0.0,0.0,0.0,3.5,5.0,6.0,7.0,3.5,4.0,2.0,5.0,2.5,6.0,1.5,4.0,4.5,9.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0,16.5,27.0,30.5,44.0,66.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
30,REBEKAH TERTIARY HOSPITAL,-64.6960615,-155.675806,NORTH-WESTERN,PORT LOKO,MONTANA,VALERIEBOROUGH,,,True,2,0,3,0,0,0,0,0,0,0,0,3,2,0,0,3,3,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,780,805,760,1044,363,448,340,403,40,37,28,29,34,39,35,35,0,2,0,0,2,False,False,False,True,False,True,True,2,0,2,2,2,0,1,2,2,1,1,2,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,2,0,2,1,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,1,1,2,1,2,0,0,847.25,388.5,33.5,35.75,2.0,5.0,3.0,7.0,3.0,4.0,3.5,5.0,2.5,6.0,3.5,4.0,0.0,9.0,2.5,4.0,4.0,4.0,1.0,5.0,2.0,5.0,9.5,27.0,11.0,44.0,38.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
